Fondsposition per,"19.Juli2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"BAR","BARCO NV","IT","Aktien","537.715,27","0,01","537.715,27","44.008,00","12,22","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"8515","AIFUL CORP","Financials","Aktien","537.167,19","0,01","537.167,19","215.600,00","2,49","Japan","Tokyo Stock Exchange","JPY"
"PRLB","PROTO LABS INC","Industrie","Aktien","536.336,67","0,01","536.336,67","16.447,00","32,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"7240","NOK CORP","Zyklische Konsumgüter ","Aktien","535.733,31","0,01","535.733,31","37.900,00","14,14","Japan","Tokyo Stock Exchange","JPY"
"4544","HU GROUP HOLDINGS INC","Gesundheitsversorgung","Aktien","535.420,92","0,01","535.420,92","32.900,00","16,27","Japan","Tokyo Stock Exchange","JPY"
"NBR","NABORS INDUSTRIES LTD","Energie","Aktien","534.422,88","0,01","534.422,88","6.511,00","82,08","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DFH","DREAM FINDERS HOMES INC CLASS A","Zyklische Konsumgüter ","Aktien","533.337,90","0,01","533.337,90","17.210,00","30,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EFR","ENERGY FUELS INC","Energie","Aktien","533.517,32","0,01","533.517,32","94.359,00","5,65","Kanada","Toronto Stock Exchange","CAD"
"KNSA","KINIKSA PHARMACEUTICALS INTERNATIO","Gesundheitsversorgung","Aktien","533.042,84","0,01","533.042,84","25.108,00","21,23","Vereinigte Staaten","NASDAQ","USD"
"AMSF","AMERISAFE INC","Financials","Aktien","532.794,24","0,01","532.794,24","11.212,00","47,52","Vereinigte Staaten","NASDAQ","USD"
"KRNT","KORNIT DIGITAL LTD","Industrie","Aktien","532.268,80","0,01","532.268,80","34.880,00","15,26","Israel","NASDAQ","USD"
"2593","ITO EN LTD","Nichtzyklische Konsumgüter","Aktien","531.945,21","0,01","531.945,21","23.300,00","22,83","Japan","Tokyo Stock Exchange","JPY"
"PAYO","PAYONEER GLOBAL INC","Financials","Aktien","531.901,68","0,01","531.901,68","96.359,00","5,52","Vereinigte Staaten","NASDAQ","USD"
"AFN","AG GROWTH INTERNATIONAL INC","Industrie","Aktien","530.778,72","0,01","530.778,72","13.675,00","38,81","Kanada","Toronto Stock Exchange","CAD"
"SEA","SEABRIDGE GOLD INC","Materialien","Aktien","530.690,11","0,01","530.690,11","36.674,00","14,47","Kanada","Toronto Stock Exchange","CAD"
"CURY","CURRYS PLC","Zyklische Konsumgüter ","Aktien","530.300,57","0,01","530.300,57","531.470,00","1,00","Vereinigtes Königreich","London Stock Exchange","GBP"
"HBH","HORNBACH HOLDING AG","Zyklische Konsumgüter ","Aktien","528.573,81","0,01","528.573,81","6.271,00","84,29","Deutschland","Xetra","EUR"
"N91","NINETY ONE PLC","Financials","Aktien","528.588,28","0,01","528.588,28","243.158,00","2,17","Vereinigtes Königreich","London Stock Exchange","GBP"
"BITF","BITFARMS LTD","IT","Aktien","528.017,87","0,01","528.017,87","189.211,00","2,79","Kanada","Toronto Stock Exchange","CAD"
"4694","BML INC","Gesundheitsversorgung","Aktien","528.353,51","0,01","528.353,51","27.300,00","19,35","Japan","Tokyo Stock Exchange","JPY"
"SK6U","PARAGON REIT","Immobilien","Aktien","528.277,50","0,01","528.277,50","835.735,00","0,63","Singapur","Singapore Exchange","SGD"
"DLX","DELUXE CORP","Industrie","Aktien","527.927,40","0,01","527.927,40","22.561,00","23,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6727","WACOM LTD","IT","Aktien","527.941,65","0,01","527.941,65","103.700,00","5,09","Japan","Tokyo Stock Exchange","JPY"
"7163","SBI SUMISHIN NET BANK LTD","Financials","Aktien","527.142,72","0,01","527.142,72","27.600,00","19,10","Japan","Tokyo Stock Exchange","JPY"
"IRE","IRESS LTD","IT","Aktien","526.525,93","0,01","526.525,93","87.299,00","6,03","Australien","Asx - All Markets","AUD"
"HFG","HELLOFRESH","Nichtzyklische Konsumgüter","Aktien","526.074,31","0,01","526.074,31","83.032,00","6,34","Deutschland","Xetra","EUR"
"8609","OKASAN SECURITIES GROUP INC","Financials","Aktien","526.133,41","0,01","526.133,41","106.400,00","4,94","Japan","Tokyo Stock Exchange","JPY"
"8616","TOKAI TOKYO FINANCIAL HOLDINGS INC","Financials","Aktien","525.682,78","0,01","525.682,78","140.900,00","3,73","Japan","Tokyo Stock Exchange","JPY"
"ENAV","ENAV SPA","Industrie","Aktien","524.815,81","0,01","524.815,81","121.514,00","4,32","Italien","Borsa Italiana","EUR"
"FSLY","FASTLY INC CLASS A","IT","Aktien","524.799,00","0,01","524.799,00","67.716,00","7,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OX2","OX2","Industrie","Aktien","524.829,37","0,01","524.829,37","94.433,00","5,56","Schweden","Nasdaq Omx Nordic","SEK"
"WKP","WORKSPACE GROUP REIT PLC","Immobilien","Aktien","524.854,05","0,01","524.854,05","65.858,00","7,97","Vereinigtes Königreich","London Stock Exchange","GBP"
"BDGI","BADGER INFRASTRUCTURE SOLUTIONS LT","Industrie","Aktien","524.710,70","0,01","524.710,70","19.569,00","26,81","Kanada","Toronto Stock Exchange","CAD"
"187A","SAMTY HOLDINGS LTD","Immobilien","Aktien","524.709,70","0,01","524.709,70","31.200,00","16,82","Japan","Tokyo Stock Exchange","JPY"
"2531","TAKARA HOLDINGS INC","Nichtzyklische Konsumgüter","Aktien","524.586,39","0,01","524.586,39","73.300,00","7,16","Japan","Tokyo Stock Exchange","JPY"
"BIGC","BIGCOMMERCE HOLDINGS INC SERIES","IT","Aktien","524.366,10","0,01","524.366,10","65.958,00","7,95","Vereinigte Staaten","NASDAQ","USD"
"BIR","BIRCHCLIFF ENERGY LTD","Energie","Aktien","524.092,35","0,01","524.092,35","118.891,00","4,41","Kanada","Toronto Stock Exchange","CAD"
"AVNS","AVANOS MEDICAL INC","Gesundheitsversorgung","Aktien","523.669,86","0,01","523.669,86","23.814,00","21,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FIP","FTAI INFRASTRUCTURE INC","Industrie","Aktien","522.286,37","0,01","522.286,37","54.011,00","9,67","Vereinigte Staaten","NASDAQ","USD"
"IIA","IMMOFINANZ AG","Immobilien","Aktien","521.905,97","0,01","521.905,97","18.085,00","28,86","Österreich","Wiener Boerse Ag","EUR"
"4967","KOBAYASHI PHARMACEUTICAL LTD","Nichtzyklische Konsumgüter","Aktien","521.902,31","0,01","521.902,31","14.500,00","35,99","Japan","Tokyo Stock Exchange","JPY"
"3543","KOMEDA HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","521.702,10","0,01","521.702,10","30.800,00","16,94","Japan","Tokyo Stock Exchange","JPY"
"ATRLJ B","ATRIUM LJUNGBERG B","Immobilien","Aktien","521.497,86","0,01","521.497,86","23.678,00","22,02","Schweden","Nasdaq Omx Nordic","SEK"
"ENGH","ENGHOUSE SYSTEMS LTD","IT","Aktien","521.066,01","0,01","521.066,01","23.563,00","22,11","Kanada","Toronto Stock Exchange","CAD"
"7581","SAIZERIYA LTD","Zyklische Konsumgüter ","Aktien","520.380,08","0,01","520.380,08","13.400,00","38,83","Japan","Tokyo Stock Exchange","JPY"
"GPRE","GREEN PLAINS INC","Energie","Aktien","519.979,50","0,01","519.979,50","31.230,00","16,65","Vereinigte Staaten","NASDAQ","USD"
"BMBL","BUMBLE INC CLASS A","Kommunikation","Aktien","519.586,20","0,01","519.586,20","58.910,00","8,82","Vereinigte Staaten","NASDAQ","USD"
"KLG","WK KELLOGG","Nichtzyklische Konsumgüter","Aktien","519.827,76","0,01","519.827,76","32.632,00","15,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MDXG","MIMEDX GROUP INC","Gesundheitsversorgung","Aktien","519.207,40","0,01","519.207,40","72.515,00","7,16","Vereinigte Staaten","NASDAQ","USD"
"EMBC","EMBECTA CORP","Gesundheitsversorgung","Aktien","518.792,64","0,01","518.792,64","39.392,00","13,17","Vereinigte Staaten","NASDAQ","USD"
"GYC","GRAND CITY PROPERTIES SA","Immobilien","Aktien","518.857,53","0,01","518.857,53","42.164,00","12,31","Deutschland","Xetra","EUR"
"WINA","WINMARK CORP","Zyklische Konsumgüter ","Aktien","518.800,68","0,01","518.800,68","1.332,00","389,49","Vereinigte Staaten","NASDAQ","USD"
"KPG","KIWI PROPERTY GROUP LTD","Immobilien","Aktien","518.546,99","0,01","518.546,99","1.001.847,00","0,52","Neuseeland","New Zealand Exchange Ltd","NZD"
"VBTX","VERITEX HOLDINGS INC","Financials","Aktien","518.740,26","0,01","518.740,26","21.741,00","23,86","Vereinigte Staaten","NASDAQ","USD"
"WRLD","WORLD ACCEPTANCE CORP","Financials","Aktien","518.163,14","0,01","518.163,14","3.751,00","138,14","Vereinigte Staaten","NASDAQ","USD"
"BSLN","BASILEA PHARMACEUTICA AG","Gesundheitsversorgung","Aktien","517.922,46","0,01","517.922,46","11.505,00","45,02","Schweiz","SIX Swiss Exchange","CHF"
"8987","JAPAN EXCELLENT REIT INC","Immobilien","Aktien","517.563,16","0,01","517.563,16","682,00","758,89","Japan","Tokyo Stock Exchange","JPY"
"3401","TEIJIN LTD","Materialien","Aktien","517.555,53","0,01","517.555,53","59.200,00","8,74","Japan","Tokyo Stock Exchange","JPY"
"ARF","ARENA REIT STAPLED UNITS","Immobilien","Aktien","517.166,91","0,01","517.166,91","196.087,00","2,64","Australien","Asx - All Markets","AUD"
"8595","JAFCO GROUP LTD","Financials","Aktien","517.382,02","0,01","517.382,02","41.300,00","12,53","Japan","Tokyo Stock Exchange","JPY"
"EXPI","EXP WORLD HOLDINGS INC","Immobilien","Aktien","516.663,70","0,01","516.663,70","37.090,00","13,93","Vereinigte Staaten","NASDAQ","USD"
"ATRC","ATRICURE INC","Gesundheitsversorgung","Aktien","516.222,86","0,01","516.222,86","21.358,00","24,17","Vereinigte Staaten","NASDAQ","USD"
"7205","HINO MOTORS LTD","Industrie","Aktien","515.506,40","0,01","515.506,40","185.600,00","2,78","Japan","Tokyo Stock Exchange","JPY"
"4212","SEKISUI JUSHI CORP","Industrie","Aktien","515.397,08","0,01","515.397,08","30.600,00","16,84","Japan","Tokyo Stock Exchange","JPY"
"SMHN","SUSS MICROTEC N","IT","Aktien","515.454,19","0,01","515.454,19","7.785,00","66,21","Deutschland","Xetra","EUR"
"INE","INNERGEX RENEWABLE ENERGY INC","Versorger","Aktien","514.617,44","0,01","514.617,44","71.055,00","7,24","Kanada","Toronto Stock Exchange","CAD"
"BETCO","BETTER COLLECTIVE","Kommunikation","Aktien","513.943,43","0,01","513.943,43","23.335,00","22,02","Schweden","Nasdaq Omx Nordic","SEK"
"CHEMM","CHEMOMETEC","Gesundheitsversorgung","Aktien","514.206,29","0,01","514.206,29","9.647,00","53,30","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"7994","OKAMURA CORP","Industrie","Aktien","514.103,03","0,01","514.103,03","36.800,00","13,97","Japan","Tokyo Stock Exchange","JPY"
"AAD","AMADEUS FIRE AG","Industrie","Aktien","513.871,66","0,01","513.871,66","4.546,00","113,04","Deutschland","Xetra","EUR"
"MBUU","MALIBU BOATS CLASS A INC","Zyklische Konsumgüter ","Aktien","513.792,84","0,01","513.792,84","13.596,00","37,79","Vereinigte Staaten","NASDAQ","USD"
"8956","NTT UD REIT INVESTMENT REIT CORP","Immobilien","Aktien","513.578,03","0,01","513.578,03","693,00","741,09","Japan","Tokyo Stock Exchange","JPY"
"DMP","DERMAPHARM HOLDING","Gesundheitsversorgung","Aktien","513.199,25","0,01","513.199,25","13.219,00","38,82","Deutschland","Xetra","EUR"
"GDYN","GRID DYNAMICS HOLDINGS INC CLASS A","IT","Aktien","513.411,80","0,01","513.411,80","42.820,00","11,99","Vereinigte Staaten","NASDAQ","USD"
"PDM","PIEDMONT OFFICE REALTY TRUST REIT","Immobilien","Aktien","513.410,28","0,01","513.410,28","63.857,00","8,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"1417","MIRAIT ONE CORP","Industrie","Aktien","512.507,71","0,01","512.507,71","38.600,00","13,28","Japan","Tokyo Stock Exchange","JPY"
"PRTA","PROTHENA PLC","Gesundheitsversorgung","Aktien","512.204,76","0,01","512.204,76","21.722,00","23,58","Vereinigte Staaten","NASDAQ","USD"
"3865","HOKUETSU CORP","Materialien","Aktien","511.896,27","0,01","511.896,27","71.400,00","7,17","Japan","Tokyo Stock Exchange","JPY"
"NOLA B","NOLATO CLASS B","Industrie","Aktien","511.871,74","0,01","511.871,74","92.727,00","5,52","Schweden","Nasdaq Omx Nordic","SEK"
"BAP","BAPCOR LTD","Zyklische Konsumgüter ","Aktien","511.425,83","0,01","511.425,83","149.512,00","3,42","Australien","Asx - All Markets","AUD"
"MRL","MARLOWE PLC","Industrie","Aktien","510.803,66","0,01","510.803,66","86.725,00","5,89","Vereinigtes Königreich","London Stock Exchange","GBP"
"6104","SHIBAURA MACHINE LTD","Industrie","Aktien","509.867,48","0,01","509.867,48","21.000,00","24,28","Japan","Tokyo Stock Exchange","JPY"
"3105","NISSHINBO HOLDINGS INC","Industrie","Aktien","509.207,11","0,01","509.207,11","73.400,00","6,94","Japan","Tokyo Stock Exchange","JPY"
"3941","RENGO LTD","Materialien","Aktien","508.834,65","0,01","508.834,65","77.500,00","6,57","Japan","Tokyo Stock Exchange","JPY"
"TPC","TUTOR PERINI CORP","Industrie","Aktien","508.818,66","0,01","508.818,66","21.442,00","23,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UTZ","UTZ BRANDS INC CLASS A","Nichtzyklische Konsumgüter","Aktien","508.431,00","0,01","508.431,00","32.550,00","15,62","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOS","NOS SGPS SA","Kommunikation","Aktien","508.055,50","0,01","508.055,50","130.135,00","3,90","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"NEWAB","NEW WAVE GROUP CLASS B","Zyklische Konsumgüter ","Aktien","507.676,38","0,01","507.676,38","48.977,00","10,37","Schweden","Nasdaq Omx Nordic","SEK"
"659","NWS HOLDINGS LTD","Industrie","Aktien","507.885,13","0,01","507.885,13","563.500,00","0,90","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"SLR","SOLARIA ENERGIA Y MEDIO AMBIENTE S","Versorger","Aktien","507.665,21","0,01","507.665,21","41.847,00","12,13","Spanien","Bolsa De Madrid","EUR"
"B4B","METRO AG","Nichtzyklische Konsumgüter","Aktien","507.206,33","0,01","507.206,33","110.762,00","4,58","Deutschland","Xetra","EUR"
"4061","DENKA CO LTD","Materialien","Aktien","507.012,11","0,01","507.012,11","36.500,00","13,89","Japan","Tokyo Stock Exchange","JPY"
"SCHL","SCHOLASTIC CORP","Kommunikation","Aktien","507.065,80","0,01","507.065,80","17.306,00","29,30","Vereinigte Staaten","NASDAQ","USD"
"CWENA","CLEARWAY ENERGY INC CLASS A","Versorger","Aktien","506.149,56","0,01","506.149,56","21.798,00","23,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DX","DYNEX CAPITAL REIT INC","Financials","Aktien","505.973,88","0,01","505.973,88","41.036,00","12,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CRN","CORONADO GLOBAL RESOURCES CDI INC","Materialien","Aktien","505.294,77","0,01","505.294,77","571.854,00","0,88","Australien","Asx - All Markets","AUD"
"14","HYSAN DEVELOPMENT LTD","Immobilien","Aktien","504.730,57","0,01","504.730,57","352.000,00","1,43","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"IRES","IRISH RESIDENTIAL PROPERTIES PLC","Immobilien","Aktien","504.861,84","0,01","504.861,84","509.452,00","0,99","Irland","Irish Stock Exchange - All Market","EUR"
"BSL","RAFFLES MEDICAL GROUP LTD","Gesundheitsversorgung","Aktien","504.752,89","0,01","504.752,89","672.021,00","0,75","Singapur","Singapore Exchange","SGD"
"69","SHANGRI LA ASIA LTD","Zyklische Konsumgüter ","Aktien","504.730,57","0,01","504.730,57","704.000,00","0,72","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"BIOA B","BIOARCTIC CLASS B","Gesundheitsversorgung","Aktien","504.591,80","0,01","504.591,80","23.865,00","21,14","Schweden","Nasdaq Omx Nordic","SEK"
"MTG B","MODERN TIMES GROUP MTG CLASS B","Kommunikation","Aktien","504.700,16","0,01","504.700,16","67.398,00","7,49","Schweden","Nasdaq Omx Nordic","SEK"
"4927","POLA ORBIS HOLDINGS INC","Nichtzyklische Konsumgüter","Aktien","504.433,22","0,01","504.433,22","57.200,00","8,82","Japan","Tokyo Stock Exchange","JPY"
"4816","TOEI ANIMATION LTD","Kommunikation","Aktien","503.692,12","0,01","503.692,12","33.200,00","15,17","Japan","Tokyo Stock Exchange","JPY"
"INDI","INDIE SEMICONDUCTOR INC CLASS A","IT","Aktien","503.150,00","0,01","503.150,00","80.504,00","6,25","Vereinigte Staaten","NASDAQ","USD"
"4617","CHUGOKU MARINE PAINTS LTD","Materialien","Aktien","501.771,38","0,01","501.771,38","36.600,00","13,71","Japan","Tokyo Stock Exchange","JPY"
"EYE","NATIONAL VISION HOLDINGS INC","Zyklische Konsumgüter ","Aktien","501.627,93","0,01","501.627,93","38.263,00","13,11","Vereinigte Staaten","NASDAQ","USD"
"6744","NOHMI BOSAI LTD","IT","Aktien","501.399,56","0,01","501.399,56","30.900,00","16,23","Japan","Tokyo Stock Exchange","JPY"
"2760","TOKYO ELECTRON DEVICE LTD","IT","Aktien","501.414,18","0,01","501.414,18","19.600,00","25,58","Japan","Tokyo Stock Exchange","JPY"
"IMPN","IMPLENIA AG","Industrie","Aktien","500.539,98","0,01","500.539,98","13.986,00","35,79","Schweiz","SIX Swiss Exchange","CHF"
"SKBN","SHIKUN AND BINUI LTD","Industrie","Aktien","500.516,92","0,01","500.516,92","200.468,00","2,50","Israel","Tel Aviv Stock Exchange","ILS"
"8986","DAIWA SECURITIES LIVING INVESTMENT","Immobilien","Aktien","499.968,22","0,01","499.968,22","775,00","645,12","Japan","Tokyo Stock Exchange","JPY"
"DCO","DUCOMMUN INC","Industrie","Aktien","500.248,30","0,01","500.248,30","8.285,00","60,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"2160","GNI GROUP LTD","Gesundheitsversorgung","Aktien","499.891,95","0,01","499.891,95","32.300,00","15,48","Japan","Tokyo Stock Exchange","JPY"
"NVG","THE NAVIGATOR COMPANY SA","Materialien","Aktien","499.845,25","0,01","499.845,25","118.726,00","4,21","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"CBG","CLOSE BROS GROUP PLC","Financials","Aktien","499.485,51","0,01","499.485,51","73.170,00","6,83","Vereinigtes Königreich","London Stock Exchange","GBP"
"2379","DIP CORP","Industrie","Aktien","499.062,51","0,01","499.062,51","26.000,00","19,19","Japan","Tokyo Stock Exchange","JPY"
"UHT","UNIVERSAL HEALTH REALTY INCOME TRU","Immobilien","Aktien","498.859,90","0,01","498.859,90","12.257,00","40,70","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4478","FREEE KK","IT","Aktien","498.617,60","0,01","498.617,60","30.000,00","16,62","Japan","Tokyo Stock Exchange","JPY"
"8097","SAN-AI OBBLI LTD","Energie","Aktien","498.312,52","0,01","498.312,52","36.500,00","13,65","Japan","Tokyo Stock Exchange","JPY"
"MRVI","MARAVAI LIFESCIENCES HOLDINGS INC","Gesundheitsversorgung","Aktien","497.940,48","0,01","497.940,48","57.632,00","8,64","Vereinigte Staaten","NASDAQ","USD"
"ILCO","ISRAEL CORPORATION LTD","Materialien","Aktien","497.078,04","0,01","497.078,04","2.102,00","236,48","Israel","Tel Aviv Stock Exchange","ILS"
"LEHN","LEM HOLDING SA","IT","Aktien","497.439,65","0,01","497.439,65","325,00","1.530,58","Schweiz","SIX Swiss Exchange","CHF"
"OMI","OWENS & MINOR INC","Gesundheitsversorgung","Aktien","495.995,76","0,01","495.995,76","33.468,00","14,82","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EPR","EUROPRIS","Zyklische Konsumgüter ","Aktien","495.398,13","0,01","495.398,13","80.057,00","6,19","Norwegen","Oslo Bors Asa","NOK"
"PRAA","PRA GROUP INC","Financials","Aktien","495.167,03","0,01","495.167,03","21.881,00","22,63","Vereinigte Staaten","NASDAQ","USD"
"KOMN","KOMAX HOLDING AG","Industrie","Aktien","493.899,50","0,01","493.899,50","3.208,00","153,96","Schweiz","SIX Swiss Exchange","CHF"
"RPAY","REPAY HOLDINGS CORP CLASS A","Financials","Aktien","494.003,25","0,01","494.003,25","50.667,00","9,75","Vereinigte Staaten","NASDAQ","USD"
"WHA","WERELDHAVE NV","Immobilien","Aktien","494.201,62","0,01","494.201,62","33.566,00","14,72","Niederlande","Euronext Amsterdam","EUR"
"3569","SEIREN LTD","Zyklische Konsumgüter ","Aktien","493.494,77","0,01","493.494,77","32.900,00","15,00","Japan","Tokyo Stock Exchange","JPY"
"9601","SHOCHIKU LTD","Kommunikation","Aktien","493.156,64","0,01","493.156,64","8.400,00","58,71","Japan","Tokyo Stock Exchange","JPY"
"3076","AI HOLDINGS CORP","IT","Aktien","492.916,39","0,01","492.916,39","31.500,00","15,65","Japan","Tokyo Stock Exchange","JPY"
"7003","MITSUI E&S LTD","Industrie","Aktien","493.034,61","0,01","493.034,61","50.800,00","9,71","Japan","Tokyo Stock Exchange","JPY"
"TRST","TRUSTPILOT GROUP PLC","Kommunikation","Aktien","492.860,71","0,01","492.860,71","189.367,00","2,60","Vereinigtes Königreich","London Stock Exchange","GBP"
"3097","MONOGATARI CORP","Zyklische Konsumgüter ","Aktien","492.573,17","0,01","492.573,17","21.800,00","22,60","Japan","Tokyo Stock Exchange","JPY"
"SKAN","SKAN N AG","Gesundheitsversorgung","Aktien","491.180,24","0,01","491.180,24","5.874,00","83,62","Schweiz","SIX Swiss Exchange","CHF"
"CRST","CREST NICHOLSON HOLDINGS PLC","Zyklische Konsumgüter ","Aktien","490.667,12","0,01","490.667,12","149.088,00","3,29","Vereinigtes Königreich","London Stock Exchange","GBP"
"SZG","SALZGITTER AG","Materialien","Aktien","491.030,75","0,01","491.030,75","27.130,00","18,10","Deutschland","Xetra","EUR"
"8276","HEIWADO LTD","Nichtzyklische Konsumgüter","Aktien","490.571,07","0,01","490.571,07","32.000,00","15,33","Japan","Tokyo Stock Exchange","JPY"
"1883","CITIC TELECOM INTL HOLDINGS LTD","Kommunikation","Aktien","490.184,23","0,01","490.184,23","1.434.000,00","0,34","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"K71U","KEPPEL REIT UNITS","Immobilien","Aktien","489.458,62","0,01","489.458,62","752.200,00","0,65","Singapur","Singapore Exchange","SGD"
"8848","LEOPALACE21 CORP","Immobilien","Aktien","489.442,27","0,01","489.442,27","146.400,00","3,34","Japan","Tokyo Stock Exchange","JPY"
"GSAT","GLOBALSTAR VOTING INC","Kommunikation","Aktien","487.469,80","0,01","487.469,80","413.110,00","1,18","Vereinigte Staaten","Nyse Mkt Llc","USD"
"ORL","OIL REFINERIES LTD","Energie","Aktien","487.709,97","0,01","487.709,97","1.853.781,00","0,26","Israel","Tel Aviv Stock Exchange","ILS"
"MSLH","MARSHALLS PLC","Materialien","Aktien","487.008,99","0,01","487.008,99","108.346,00","4,49","Vereinigtes Königreich","London Stock Exchange","GBP"
"NG","NOVAGOLD RESOURCES INC","Materialien","Aktien","486.713,01","0,01","486.713,01","111.891,00","4,35","Kanada","Toronto Stock Exchange","CAD"
"IRWD","IRONWOOD PHARMA INC CLASS A","Gesundheitsversorgung","Aktien","486.286,08","0,01","486.286,08","72.364,00","6,72","Vereinigte Staaten","NASDAQ","USD"
"CASS","CASS INFORMATION SYSTEMS INC","Financials","Aktien","485.967,70","0,01","485.967,70","12.241,00","39,70","Vereinigte Staaten","NASDAQ","USD"
"MAB","MITCHELLS AND BUTLERS PLC","Zyklische Konsumgüter ","Aktien","486.115,55","0,01","486.115,55","126.505,00","3,84","Vereinigtes Königreich","London Stock Exchange","GBP"
"HOME","NEINOR HOMES SA","Zyklische Konsumgüter ","Aktien","486.114,35","0,01","486.114,35","32.300,00","15,05","Spanien","Bolsa De Madrid","EUR"
"PUBM","PUBMATIC INC CLASS A","Kommunikation","Aktien","485.950,08","0,01","485.950,08","22.836,00","21,28","Vereinigte Staaten","NASDAQ","USD"
"SPHR","SPHERE ENTERTAINMENT CLASS A","Kommunikation","Aktien","485.975,16","0,01","485.975,16","11.286,00","43,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"3087","DOUTOR NICHIRES HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","485.710,11","0,01","485.710,11","33.400,00","14,54","Japan","Tokyo Stock Exchange","JPY"
"PIA","PIAGGIO & C","Zyklische Konsumgüter ","Aktien","484.449,58","0,01","484.449,58","164.640,00","2,94","Italien","Borsa Italiana","EUR"
"STRS","STRAUSS GROUP LTD","Nichtzyklische Konsumgüter","Aktien","484.392,91","0,01","484.392,91","31.086,00","15,58","Israel","Tel Aviv Stock Exchange","ILS"
"PNV","POLYNOVO LTD","Gesundheitsversorgung","Aktien","484.100,40","0,01","484.100,40","298.837,00","1,62","Australien","Asx - All Markets","AUD"
"XPEL","XPEL INC","Zyklische Konsumgüter ","Aktien","483.782,89","0,01","483.782,89","13.157,00","36,77","Vereinigte Staaten","NASDAQ","USD"
"EIF","EXCHANGE INCOME CORP","Industrie","Aktien","483.068,75","0,01","483.068,75","13.795,00","35,02","Kanada","Toronto Stock Exchange","CAD"
"7864","FUJI SEAL INTERNATIONAL INC","Materialien","Aktien","483.045,73","0,01","483.045,73","32.000,00","15,10","Japan","Tokyo Stock Exchange","JPY"
"9505","HOKURIKU ELECTRIC POWER","Versorger","Aktien","483.430,45","0,01","483.430,45","77.700,00","6,22","Japan","Tokyo Stock Exchange","JPY"
"LDA","LINEA DIRECTA ASEGURADORA SA","Financials","Aktien","483.371,79","0,01","483.371,79","387.319,00","1,25","Spanien","Bolsa De Madrid","EUR"
"SLP","SIMULATIONS PLUS INC","Gesundheitsversorgung","Aktien","483.336,96","0,01","483.336,96","12.224,00","39,54","Vereinigte Staaten","NASDAQ","USD"
"SPI","SPIRE HEALTHCARE GROUP PLCINARY","Gesundheitsversorgung","Aktien","483.279,44","0,01","483.279,44","152.717,00","3,16","Vereinigtes Königreich","London Stock Exchange","GBP"
"9956","VALOR HOLDINGS LTD","Nichtzyklische Konsumgüter","Aktien","483.319,03","0,01","483.319,03","31.000,00","15,59","Japan","Tokyo Stock Exchange","JPY"
"CTKB","CYTEK BIOSCIENCES INC","Gesundheitsversorgung","Aktien","482.824,20","0,01","482.824,20","78.508,00","6,15","Vereinigte Staaten","NASDAQ","USD"
"YUBICO","YUBICO","IT","Aktien","481.845,94","0,01","481.845,94","19.328,00","24,93","Schweden","Nasdaq Omx Nordic","SEK"
"OFIX","ORTHOFIX MEDICAL INC","Gesundheitsversorgung","Aktien","481.084,28","0,01","481.084,28","31.118,00","15,46","Vereinigte Staaten","NASDAQ","USD"
"TAH","TABCORP HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","480.972,39","0,01","480.972,39","1.072.407,00","0,45","Australien","Asx - All Markets","AUD"
"9830","TRUSCO NAKAYAMA CORP","Industrie","Aktien","480.927,96","0,01","480.927,96","31.900,00","15,08","Japan","Tokyo Stock Exchange","JPY"
"TOKMAN","TOKMANNI GROUP CORPORATION","Zyklische Konsumgüter ","Aktien","480.131,98","0,01","480.131,98","33.759,00","14,22","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
